state,illegal_incidence_pct,estimated_illegal_packs_annual,tax_revenue_loss_rm,illegal_market_value_rm,recommended_enforcement_ops,projected_annual_seizures,projected_benefits_rm,priority_score
PERLIS,41.8,40866964.28571428,490403571.4285714,326935714.28571427,4,24520178.57142857,490403571.4285714,41.8
KEDAH,32.4,31676785.714285713,380121428.57142854,253414285.7142857,3,14254553.571428569,285091071.4285714,32.4
PENANG,47.8,46733035.71428571,560796428.5714285,373864285.7142857,4,28039821.428571425,560796428.5714285,47.8
PERAK,33.2,32458928.57142857,389507142.85714287,259671428.57142857,3,14606517.857142856,292130357.14285713,33.2
SELANGOR,44.7,43702232.14285714,524426785.71428573,349617857.14285713,4,26221339.285714284,524426785.7142857,44.7
WP KL,42.1,41160267.85714286,493923214.28571427,329282142.85714287,4,24696160.714285713,493923214.28571427,42.1
N.SEMBILAN,42.0,41062499.99999999,492749999.9999999,328499999.99999994,4,24637499.999999996,492749999.99999994,42.0
MELAKA,56.2,54945535.71428572,659346428.5714285,439564285.71428573,5,41209151.78571428,824183035.7142856,56.2
JOHOR,56.99999999999999,55727678.57142856,668732142.8571427,445821428.5714285,5,41795758.92857142,835915178.5714283,56.99999999999999
PAHANG,80.7,78898660.71428572,946783928.5714285,631189285.7142857,8,94678392.85714285,1893567857.142857,80.7
Tâ€™GANU,70.5,68926339.28571427,827116071.4285712,551410714.2857141,7,72372656.24999999,1447453124.9999998,70.5
KELANTAN,60.3,58954017.85714285,707448214.2857141,471632142.8571428,6,53058616.07142857,1061172321.4285713,60.3
SABAH,78.9,77138839.28571428,925666071.4285715,617110714.2857143,7,80995781.25,1619915625.0,78.9
SARAWAK,80.3,78507589.28571427,942091071.4285712,628060714.2857141,8,94209107.14285712,1884182142.8571424,80.3
